 37577	2
 37800	2
 70060	2
 70513	2
123111	2
123239	2
160578	2
225116	2
225847	2
225955	2
303752	2
303893	2
344585	2
344644	2
371619	2
371664	2
371666	2
373239	2
391094	2
416224	2
416517	2
416521	2
465422	2
466935	2
467379	2
468607	2
475733	2
476074	2
497954	2
522234	2
539736	2
541050	2
560069	2
561261	2
586137	2
628683	2
642958	2
643087	2
659490	2
662072	2
 55091	3
193447	3
344223	3
416770	3
608122	3
661878	3
  8644	5
 10000	5
 10242	5
 10299	5
 10389	5
 10401	5
 21808	5
 21935	5
 22063	5
 23327	5
 23452	5
 23469	5
 23839	5
 36769	5
 37270	5
 38602	5
 54814	5
 91667	5
 91939	5
 92907	5
 96694	5
 98095	5
121872	5
123117	5
123297	5
127560	5
146133	5
147217	5
160677	5
200480	5
224543	5
224567	5
225635	5
225750	5
225759	5
226083	5
226279	5
246810	5
248258	5
248383	5
248513	5
248609	5
248785	5
249539	5
272394	5
303776	5
305161	5
342599	5
343820	5
343896	5
343951	5
371621	5
373009	5
373065	5
374582	5
389820	5
444397	5
445819	5
466867	5
467080	5
467103	5
467167	5
468250	5
468386	5
481537	5
521517	5
542077	5
561388	5
583966	5
586142	5
588555	5
607266	5
607798	5
627451	5
628869	5
630253	5
634809	5
644847	5
644994	5
645063	5
